Date,Year,Time,Elevation_m,Volume_mcm,Inflow_cms,Outflow_cms,AvgRainFall_mm
1 Jan,2022,01:00,185.79,592.1442401,183.8888889,183.8888889,0
1 Jan,2022,02:00,185.79,592.1442401,130.5555556,130.5555556,0.044444444
1 Jan,2022,03:00,185.79,592.1442401,126.9444444,126.9444444,0.022222222
1 Jan,2022,04:00,185.8,592.422128,196.6355361,119.4444444,0
1 Jan,2022,05:00,185.81,592.7001065,167.4940194,90.27777778,0.022222222
1 Jan,2022,06:00,185.82,592.9781755,168.9080583,91.66666667,0.022222222
1 Jan,2022,07:00,185.82,592.9781755,143.8888889,143.8888889,0.022222222
1 Jan,2022,08:00,185.82,592.9781755,155.83,155.83,0.022222222
1 Jan,2022,09:00,185.82,592.9781755,150.56,150.56,0
1 Jan,2022,10:00,185.83,593.256335,198.6565417,121.39,0
1 Jan,2022,11:00,185.83,593.256335,156.67,156.67,0.044444444
1 Jan,2022,12:00 NN,185.83,593.256335,213.33,213.33,0.088888889
1 Jan,2022,13:00,185.82,592.9781755,116.3434583,193.61,0
1 Jan,2022,14:00,185.82,592.9781755,126.11,126.11,0.022222222
1 Jan,2022,15:00,185.82,592.9781755,183.33,183.33,0.022222222
1 Jan,2022,16:00,185.82,592.9781755,195.56,195.56,0.244444444
1 Jan,2022,17:00,185.81,592.7001065,146.9286083,224.17,0
1 Jan,2022,18:00,185.81,592.7001065,224.44,224.44,0
1 Jan,2022,19:00,185.81,592.7001065,124.72,124.72,0.022222222
1 Jan,2022,20:00,185.8,592.422128,48.89375833,126.11,0
1 Jan,2022,21:00,185.79,592.1442401,45.86890833,123.06,0
1 Jan,2022,22:00,185.79,592.1442401,136.39,136.39,0
1 Jan,2022,23:00,185.79,592.1442401,117.5,117.5,0
1 Jan,2022,12:00 MN,185.79,592.1442401,115.28,115.28,0
2 Jan,2022,01:00,185.8,592.422128,180.2510917,103.06,0.022222222
2 Jan,2022,02:00,185.81,592.7001065,181.6562417,104.44,0.022222222
2 Jan,2022,03:00,185.82,592.9781755,177.2413917,100,0
2 Jan,2022,04:00,185.83,593.256335,213.0965417,135.83,0.066666667
2 Jan,2022,05:00,185.84,593.5345851,201.1816917,123.89,0.044444444
2 Jan,2022,06:00,185.85,593.8129257,195.6468417,118.33,0
2 Jan,2022,07:00,185.85,593.8129257,115.28,115.28,0
2 Jan,2022,08:00,185.85,593.8129257,116.67,116.67,0
2 Jan,2022,09:00,185.84,593.5345851,69.90315833,147.22,0
2 Jan,2022,10:00,185.85,593.8129257,210.3768417,133.06,0
2 Jan,2022,11:00,185.86,594.0913569,182.3419917,105,0
2 Jan,2022,12:00 NN,185.86,594.0913569,149.44,149.44,0
2 Jan,2022,13:00,185.87,594.3698786,180.4271417,103.06,0
2 Jan,2022,14:00,185.87,594.3698786,130,130,0
2 Jan,2022,15:00,185.85,593.8129257,47.51308889,202.2222222,0.044444444
2 Jan,2022,16:00,185.85,593.8129257,113.6111111,113.6111111,0
2 Jan,2022,17:00,185.86,594.0913569,208.4531028,131.1111111,0
2 Jan,2022,18:00,185.86,594.0913569,165.2777778,165.2777778,0
2 Jan,2022,19:00,185.86,594.0913569,166.1111111,166.1111111,0
2 Jan,2022,20:00,185.86,594.0913569,130,130,0
2 Jan,2022,21:00,185.86,594.0913569,131.3888889,131.3888889,0
2 Jan,2022,22:00,185.87,594.3698786,201.5338083,124.1666667,0
2 Jan,2022,23:00,185.87,594.3698786,93.61111111,93.61111111,0
2 Jan,2022,12:00 MN,185.88,594.6484909,185.4478472,108.0555556,0.022222222
3 Jan,2022,01:00,185.88,594.6484909,144.7222222,144.7222222,0.088888889
3 Jan,2022,02:00,185.88,594.6484909,73.05555556,73.05555556,0.022222222
3 Jan,2022,03:00,185.88,594.6484909,121.1111111,121.1111111,0
3 Jan,2022,04:00,185.89,594.9271937,157.6952194,80.27777778,0
3 Jan,2022,05:00,185.89,594.9271937,138.0555556,138.0555556,0
3 Jan,2022,06:00,185.89,594.9271937,123.6111111,123.6111111,0.022222222
3 Jan,2022,07:00,185.89,594.9271937,100.2777778,100.2777778,0
3 Jan,2022,08:00,185.89,594.9271937,135.8333333,135.8333333,0
3 Jan,2022,09:00,185.89,594.9271937,147.2222222,147.2222222,0
3 Jan,2022,10:00,185.89,594.9271937,143.0555556,143.0555556,0
3 Jan,2022,11:00,185.89,594.9271937,155.8333333,155.8333333,0
3 Jan,2022,12:00 NN,185.89,594.9271937,104.1666667,104.1666667,0
3 Jan,2022,13:00,185.88,594.6484909,77.02700278,154.4444444,0
3 Jan,2022,14:00,185.88,594.6484909,145,145,0
3 Jan,2022,15:00,185.88,594.6484909,144.7222222,144.7222222,0
3 Jan,2022,16:00,185.88,594.6484909,167.2222222,167.2222222,0
3 Jan,2022,17:00,185.87,594.3698786,71.49659722,148.8888889,0
3 Jan,2022,18:00,185.87,594.3698786,142.2222222,142.2222222,0
3 Jan,2022,19:00,185.86,594.0913569,82.35508056,159.7222222,0
3 Jan,2022,20:00,185.86,594.0913569,102.7777778,102.7777778,0
3 Jan,2022,21:00,185.86,594.0913569,124.7222222,124.7222222,0
3 Jan,2022,22:00,185.87,594.3698786,216.2560306,138.8888889,0
3 Jan,2022,23:00,185.87,594.3698786,116.1111111,116.1111111,0
3 Jan,2022,12:00 MN,185.87,594.3698786,115.8333333,115.8333333,0
4 Jan,2022,01:00,185.87,594.3698786,117.7777778,117.7777778,0
4 Jan,2022,02:00,185.87,594.3698786,110.8333333,110.8333333,0
4 Jan,2022,03:00,185.87,594.3698786,99.44444444,99.44444444,0
4 Jan,2022,04:00,185.87,594.3698786,139.4444444,139.4444444,0
4 Jan,2022,05:00,185.87,594.3698786,142.7777778,142.7777778,0
4 Jan,2022,06:00,185.87,594.3698786,131.9444444,131.9444444,0
4 Jan,2022,07:00,185.87,594.3698786,106.9444444,106.9444444,0
4 Jan,2022,08:00,185.87,594.3698786,97.5,97.5,0
4 Jan,2022,09:00,185.87,594.3698786,129.7222222,129.7222222,0.123076923
4 Jan,2022,10:00,185.87,594.3698786,123.6111111,123.6111111,0
4 Jan,2022,11:00,185.86,594.0913569,71.799525,149.1666667,0
4 Jan,2022,12:00 NN,185.86,594.0913569,141.9444444,141.9444444,0
4 Jan,2022,13:00,185.86,594.0913569,138.6111111,138.6111111,0
4 Jan,2022,14:00,185.85,593.8129257,55.99134167,133.3333333,0
4 Jan,2022,15:00,185.85,593.8129257,132.7777778,132.7777778,0
4 Jan,2022,16:00,185.85,593.8129257,168.3333333,168.3333333,0
4 Jan,2022,17:00,185.84,593.5345851,88.23871389,165.5555556,0
4 Jan,2022,18:00,185.84,593.5345851,141.3888889,141.3888889,0.046153846
4 Jan,2022,19:00,185.84,593.5345851,203.3333333,203.3333333,0
4 Jan,2022,20:00,185.83,593.256335,69.65275278,146.9444444,0
4 Jan,2022,21:00,185.82,592.9781755,91.900125,169.1666667,0
4 Jan,2022,22:00,185.81,592.7001065,104.7030528,181.9444444,0
4 Jan,2022,23:00,185.81,592.7001065,124.4444444,124.4444444,0
4 Jan,2022,12:00 MN,185.81,592.7001065,79.72222222,79.72222222,0
5 Jan,2022,01:00,185.81,592.7001065,102.2222222,102.2222222,0
5 Jan,2022,02:00,185.82,592.9781755,168.074725,90.83333333,0
5 Jan,2022,03:00,185.82,592.9781755,113.3333333,113.3333333,0
5 Jan,2022,04:00,185.82,592.9781755,92.5,92.5,0
5 Jan,2022,05:00,185.82,592.9781755,120.5555556,120.5555556,0
5 Jan,2022,06:00,185.83,593.256335,214.2109861,136.9444444,0
5 Jan,2022,07:00,185.82,592.9781755,37.17790278,114.4444444,0
5 Jan,2022,08:00,185.82,592.9781755,109.1666667,109.1666667,0
5 Jan,2022,09:00,185.81,592.7001065,57.20305278,134.4444444,0
5 Jan,2022,10:00,185.81,592.7001065,180.5555556,180.5555556,0.025
5 Jan,2022,11:00,185.78,591.8664427,118.706725,350.28,0
5 Jan,2022,12:00 NN,185.74,590.7561585,91.03217778,399.4444444,0
5 Jan,2022,13:00,185.7,589.647323,77.26791111,385.2777778,0
5 Jan,2022,14:00,185.68,589.0934485,66.14596667,220,0
5 Jan,2022,15:00,185.68,589.0934485,165.2777778,165.2777778,0
5 Jan,2022,16:00,185.67,588.816647,68.66626389,145.5555556,0
5 Jan,2022,17:00,185.66,588.5399361,50.91363611,127.7777778,0
5 Jan,2022,18:00,185.66,588.5399361,140,140,0
5 Jan,2022,19:00,185.66,588.5399361,128.8888889,128.8888889,0
5 Jan,2022,20:00,185.65,588.2633157,50.38323055,127.2222222,0
5 Jan,2022,21:00,185.65,588.2633157,134.4444444,134.4444444,0
5 Jan,2022,22:00,185.65,588.2633157,113.6111111,113.6111111,0
5 Jan,2022,23:00,185.65,588.2633157,107.2222222,107.2222222,0
5 Jan,2022,12:00 MN,185.65,588.2633157,119.7222222,119.7222222,0
6 Jan,2022,01:00,185.65,588.2633157,87.77777778,87.77777778,0
6 Jan,2022,02:00,185.65,588.2633157,80.27777778,80.27777778,0
6 Jan,2022,03:00,185.65,588.2633157,87.22222222,87.22222222,0
6 Jan,2022,04:00,185.66,588.5399361,160.7278806,83.88888889,0
6 Jan,2022,05:00,185.66,588.5399361,72.5,72.5,0
6 Jan,2022,06:00,185.66,588.5399361,100.5555556,100.5555556,0
6 Jan,2022,07:00,185.67,588.816647,189.3641417,112.5,0
6 Jan,2022,08:00,185.66,588.5399361,113.4136361,190.2777778,0
6 Jan,2022,09:00,185.65,588.2633157,88.71656389,165.5555556,0
6 Jan,2022,10:00,185.64,587.9867859,37.07504722,113.8888889,0
6 Jan,2022,11:00,185.64,587.9867859,139.4444444,139.4444444,0
6 Jan,2022,12:00 NN,185.64,587.9867859,145.2777778,145.2777778,0
6 Jan,2022,13:00,185.63,587.7103466,67.93353056,144.7222222,0
6 Jan,2022,14:00,185.62,587.4339979,33.23645833,110,0
6 Jan,2022,15:00,185.62,587.4339979,150.8333333,150.8333333,0
6 Jan,2022,16:00,185.62,587.4339979,129.7222222,129.7222222,0
6 Jan,2022,17:00,185.62,587.4339979,152.5,152.5,0
6 Jan,2022,18:00,185.61,587.1577397,65.48383055,142.2222222,0.02
6 Jan,2022,19:00,185.61,587.1577397,117.5,117.5,0.02
6 Jan,2022,20:00,185.61,587.1577397,99.16666667,99.16666667,0
6 Jan,2022,21:00,185.6,586.881572,54.12009167,130.8333333,0
6 Jan,2022,22:00,185.6,586.881572,134.7222222,134.7222222,0
6 Jan,2022,23:00,185.6,586.881572,136.9444444,136.9444444,0
6 Jan,2022,12:00 MN,185.6,586.881572,110,110,0
7 Jan,2022,01:00,185.59,586.6054949,50.81190833,127.5,0
7 Jan,2022,02:00,185.59,586.6054949,102.5,102.5,0
7 Jan,2022,03:00,185.59,586.6054949,114.4444444,114.4444444,0
7 Jan,2022,04:00,185.59,586.6054949,149.4444444,149.4444444,0
7 Jan,2022,05:00,185.58,586.3295083,64.72594722,141.3888889,0
7 Jan,2022,06:00,185.57,586.0536122,37.25109722,113.8888889,0
7 Jan,2022,07:00,185.57,586.0536122,134.4444444,134.4444444,0
7 Jan,2022,08:00,185.56,585.7778067,142.554025,219.1666667,0
7 Jan,2022,09:00,185.54,585.2264673,50.1835,203.3333333,0
7 Jan,2022,10:00,185.53,584.9509334,52.35169722,128.8888889,0
7 Jan,2022,11:00,185.52,584.6754901,135.9879583,212.5,0
7 Jan,2022,12:00 NN,185.5,584.124875,117.0513667,270,0
7 Jan,2022,13:00,185.48,583.5746221,15.76307778,168.6111111,0
7 Jan,2022,14:00,185.47,583.2996314,78.61370833,155,0
7 Jan,2022,15:00,185.47,583.2996314,143.3333333,143.3333333,0
7 Jan,2022,16:00,185.46,583.0247313,67.52774722,143.8888889,0
7 Jan,2022,17:00,185.45,582.7499217,116.9973417,193.3333333,0
7 Jan,2022,18:00,185.44,582.4752027,174.5224917,250.8333333,0
7 Jan,2022,19:00,185.41,581.6515889,49.27393056,278.0555556,0
7 Jan,2022,20:00,185.38,580.8287899,82.83361389,311.3888889,0
7 Jan,2022,21:00,185.35,580.0068057,-0.828924999,227.5,0
7 Jan,2022,22:00,185.34,579.7329921,183.107325,259.1666667,0
7 Jan,2022,23:00,185.33,579.459269,60.632475,136.6666667,0
7 Jan,2022,12:00 MN,185.32,579.1856365,70.93540278,146.9444444,0
